Tweet ID,Author ID,Tanggal,Isi Tweet,Retweet Count,Reply Count,Like Count,Quote Count
1917051374619267575,886907831588278272,2025-04-29T03:00:39.000Z,"RT @The_RedsIndo: Gary Neville menegaskan bahwa Liverpool adalah klub terbesar di Inggris.

Neville: ""Liverpool memiliki lebih banyak Piala…",111,0,0,0
1917050891376754884,1794138492248997888,2025-04-29T02:58:44.000Z,"@Sougo_83 @utdfocusid Udah dong, jd kompetisi tertingginya saat itu First Division setelah itu baru diganti PL. First Division skrg berubah jd Championship Division

Yg selalu jd perdebatan kan, perhitungan trofi liga inggris dimulai sejak kapan",0,0,0,0
1917050850809418157,1457685789454704649,2025-04-29T02:58:34.000Z,"RT @idextratime: ✅ RESMI : Arsenal kembali kalah tipis dalam perebutan gelar juara Liga Inggris.

2023 : Runner-up 
2024 : Runner-up 
2025…",76,0,0,0
1917049449563754724,71436318,2025-04-29T02:53:00.000Z,"Warisannya Antar Liverpool Juara Liga Inggris Lagi, Ini Kata-Kata Jurgen Klopp

https://t.co/jBjkHIzt4v",0,0,0,0
1917049167995932706,71436318,2025-04-29T02:51:53.000Z,"Liverpool Pesta Gol ke Gawang Tottenham Hotspurs, Pastikan Gelar Liga Inggris 2025

https://t.co/xCnwR02Ay0",0,0,2,0
1917047034915475585,2321235622,2025-04-29T02:43:24.000Z,Mo Salah Catat Rekor Usai Kunci Gelar Juara Untuk Liverpool Di Liga Inggris https://t.co/FBZE55Aa20,0,0,0,0
1917046878514057299,1686980134283489280,2025-04-29T02:42:47.000Z,"RT @txtdrkeylie: mau 13 epl kek, 2 epl kek. itungan secara keseluruhannya ttp GELAR LIGA INGGRIS. fans emyu jgn berisik dah kocak, mending…",52,0,0,0
1917046243408416874,1044414913,2025-04-29T02:40:16.000Z,"RT @idextratime: ✅ RESMI : Liverpool kini SAMAI jumlah trofi Liga Inggris Manchester United. 🤝🏆

📝 @sportingintel https://t.co/svqHzHypfT",705,0,0,0
1917045996921754000,758469152,2025-04-29T02:39:17.000Z,"Siapa sangka, 11 pundit Premier League tak ada satu pun yang memprediksi Liverpool juara Liga Inggris 2024/25.
Ya namanya juga pundit, mereka tetaplah manusia biasa. 😁
Selamat Liverpool! #Liverpool #LiverpoolFC #Liverpoolchampions #PremierL
https://t.co/NDTpoyd9sm",0,0,0,0
1917044471440806330,1819410119496794112,2025-04-29T02:33:13.000Z,"@DwiPrasetyaSan1 @TohhirRadin @LaunchSatelite @liskiataumi @idextratime @footballontnt Iyaa tau ko bang, cuman yang gua bilang tim yang pernah juara. Liga Inggris lebih banyak kan, itu kan udah menggambarkan segimana kompetitif nya liga itu",0,0,0,0
1917044107635265636,1908614743658831872,2025-04-29T02:31:46.000Z,"RT @mitosbola: Liverpool Berpeluang Pecahkan Rekor Selisih Poin Terbesar Liga Inggris

U-kiss #HQ_AGZEPS147 #HANDSUP_BY_MEOVV

https://t.co…",6,0,0,0
1917043939221377053,1915555858240724994,2025-04-29T02:31:06.000Z,"RT @mitosbola: Liverpool Berpeluang Pecahkan Rekor Selisih Poin Terbesar Liga Inggris

U-kiss #HQ_AGZEPS147 #HANDSUP_BY_MEOVV

https://t.co…",6,0,0,0
1917043416816562430,1183082013143625728,2025-04-29T02:29:02.000Z,"RT @idextratime: ✅ RESMI : Liverpool kini SAMAI jumlah trofi Liga Inggris Manchester United. 🤝🏆

📝 @sportingintel https://t.co/svqHzHypfT",705,0,0,0
1917043374525386790,1808011735724613633,2025-04-29T02:28:52.000Z,"@NAGAHITAM__ @idextratime @footballontnt Banyakan Persija vs Persib, berrt liga inggris gak ada apa apanya Ama liga indo",0,0,4,0
